Age,SiteSpending,SiteTime,RecommendImpression,Education,WorkType,Sex,Region,Salary
32,314.06,30.14,0,Degree,Private sector,Male,London,60173.49
20,3758.36,149.36,4,GCSE,Private sector,Female,South East,42965.45
36,601.72,21.87,0,Masters,Private sector,Male,East of England,54924.41
21,44.89,182.8,9,Masters,Private sector,Female,Northern Ireland,26734.99
24,614.8,194.34,0,GCSE,Private sector,Male,Scotland,15325.23
23,722.15,137.46,6,Other,Unemployed,Male,London,27492.87
44,312.8,114.88,0,Degree,Private sector,Female,West Midlands,49823.6
39,40.43,194.19,4,Degree,Private sector,Male,Northern Ireland,47015.24
42,45.47,118.04,3,A Level,Private sector,Female,Northern Ireland,45222.28
40,218.73,285.48,8,GCSE,Private sector,Female,South West,41750.35
48,107.41,68.58,5,Other,Unemployed,Male,Northern Ireland,61615.3
28,1104.59,150.61,8,GCSE,Private sector,Male,Yorkshire and The Humber,27262.98
28,81.13,104.02,4,Other,Private sector,Female,West Midlands,19084.14
48,40.43,287.23,9,Degree,Private sector,Female,South East,71014.51
47,1231.64,101.71,3,PhD,Private sector,Female,Scotland,73295.89
31,1161.03,199.68,7,Masters,Unemployed,Female,North West,53621.7
22,155.01,219.44,5,A Level,Private sector,Female,Scotland,16940.6
36,247.77,164.55,0,Degree,Public Sector,Female,Scotland,48884.26
51,297.2,30.37,0,Degree,Private sector,Female,Scotland,27683.53
26,598.33,72.9,5,Degree,Self Employed,Female,West Midlands,21228.28
57,3658.41,216.33,6,PhD,Unemployed,Female,Scotland,62672.08
36,40.43,236.04,4,PhD,Private sector,Female,East of England,51157.2
44,197.03,17.74,0,Degree,Public Sector,Female,Scotland,54333.71
44,143.98,27.68,1,Other,Unemployed,Female,London,64283.09
23,584.41,92.61,0,Masters,Private sector,Female,Scotland,19536.03
59,1029.94,254.87,9,Masters,Public Sector,Female,East Midlands,40139.8
43,900.13,27.75,1,Degree,Private sector,Male,South East,69622.62
32,124.65,7.63,0,Other,Private sector,Female,Yorkshire and The Humber,42512.87
50,944.02,65.73,6,PhD,Private sector,Male,Wales,37388.53
38,848.66,79.06,0,GCSE,Private sector,Male,Northern Ireland,41274.43
32,261.13,166.86,8,Other,Private sector,Male,Wales,56236.76
49,721.12,247.75,7,Degree,Private sector,Male,Scotland,66315.05
34,4134.95,29.93,1,PhD,Private sector,Male,North West,90898.45
28,127.86,118.34,2,A Level,Unemployed,Female,East of England,16221.46
59,2085.83,124.4,4,None,Public Sector,Female,North West,26502.3
21,280.56,83.49,0,Degree,Private sector,Female,North East,12441.66
47,2056.53,37.21,0,Other,Private sector,Female,Scotland,75907.31
34,173.81,134.37,4,Degree,Private sector,Female,Yorkshire and The Humber,45939.83
53,301.13,276.6,8,Degree,Private sector,Male,South East,43674.2
41,3764.97,184.88,2,Degree,Private sector,Male,East of England,89747.04
60,227.29,75.3,4,A Level,Private sector,Male,South East,22134.83
32,310.92,170.25,7,A Level,Private sector,Female,Yorkshire and The Humber,43655.09
31,393.28,156.57,7,A Level,Private sector,Male,Northern Ireland,49370.92
73,398.39,250.19,7,Degree,Unemployed,Male,Scotland,27878.96
53,152.01,128.39,2,Other,Private sector,Female,North West,30378.79
25,2315.28,148.2,11,Masters,Unemployed,Female,Scotland,59759.88
40,205.43,70.77,2,GCSE,Unemployed,Male,East of England,49735.4
25,143.92,253.24,6,A Level,Self Employed,Female,Yorkshire and The Humber,18048.75
43,339.5,258.8,10,GCSE,Unemployed,Male,London,80198.33
55,958.61,285.03,12,Masters,Unemployed,Male,East of England,69756.49
28,62.8,135.58,4,A Level,Private sector,Female,Scotland,17149.6
29,98.41,18.41,1,Other,Public Sector,Female,East Midlands,18174.62
42,394.87,188.01,7,Other,Private sector,Female,Scotland,60949.46
34,206.17,282.08,12,Masters,Private sector,Female,Yorkshire and The Humber,73503.7
53,1623.19,284.92,8,Degree,Unemployed,Male,London,52028.52
23,4171.08,203.47,13,GCSE,Unemployed,Male,South East,107654.15
22,1394.71,131.34,0,GCSE,Private sector,Female,South East,19088.67
35,131.45,134.3,5,Degree,Unemployed,Female,London,55367.8
33,869.83,117.06,0,Other,Private sector,Female,Scotland,50097.21
56,3390.73,223.54,6,None,Private sector,Female,East Midlands,36275.63
50,4021.96,194.79,4,Degree,Private sector,Female,Northern Ireland,52676.95
42,452.69,235.81,2,PhD,Private sector,Male,Yorkshire and The Humber,63704.99
58,772.19,213.5,6,Degree,Unemployed,Female,Scotland,32603.11
27,215.13,300.24,12,PhD,Unemployed,Female,East Midlands,47832.4
33,76.93,170.52,6,A Level,Private sector,Male,South East,51409.63
32,161.98,236.16,4,GCSE,Private sector,Female,East of England,39432.37
27,854.98,291.25,14,PhD,Unemployed,Female,Scotland,82115.77
26,218.34,139.81,9,A Level,Private sector,Female,North West,32175.78
55,403.51,164.41,15,PhD,Unemployed,Female,South East,120167.02
34,3664.03,33.08,0,None,Unemployed,Female,East of England,58844.17
61,59.92,252.9,9,Degree,Private sector,Male,South East,38831.83
41,440.49,171.66,0,GCSE,Private sector,Female,South East,42558.44
27,2414.29,162.11,5,Masters,Private sector,Female,Scotland,34306.98
32,155.62,296.44,7,Degree,Private sector,Female,South West,49945.09
23,440.49,203.72,4,PhD,Public Sector,Male,East of England,21371.83
39,2365.64,222.73,11,GCSE,Private sector,Female,Wales,59835.75
41,56.77,22.78,0,Degree,Unemployed,Female,South East,57223.65
76,162.67,55.4,2,A Level,Private sector,Female,Northern Ireland,17677.02
68,307.63,114.68,5,Masters,Private sector,Male,West Midlands,25224.06
58,222.07,83.24,2,A Level,Unemployed,Male,West Midlands,29502.52
47,723.25,55.28,0,Masters,Unemployed,Female,South West,58526.52
57,640.14,103.46,5,Other,Unemployed,Female,South East,33693.91
66,1390.62,91.38,1,Degree,Public Sector,Female,Northern Ireland,23353.8
75,3644.95,268.38,3,Other,Private sector,Female,South East,44962.51
43,689.58,161.09,7,A Level,Private sector,Male,Yorkshire and The Humber,54085.68
43,3740.82,185.75,5,A Level,Private sector,Female,London,96694.81
33,1130.95,211.57,8,A Level,Unemployed,Female,North East,40121.89
40,124.65,239.29,10,PhD,Public Sector,Female,North West,78942.85
56,558.18,172.23,1,Masters,Public Sector,Male,Northern Ireland,30338.8
35,1975.24,159.13,6,Degree,Public Sector,Male,North West,63504.28
66,401.04,152.2,4,Degree,Private sector,Female,East Midlands,19036.71
67,124.65,35.56,2,Masters,Private sector,Male,North West,23714.35
39,294.11,154.62,4,Other,Public Sector,Male,Yorkshire and The Humber,46394.99
35,2354.57,92.63,0,PhD,Unemployed,Female,Yorkshire and The Humber,57161.76
43,386.6,181.31,2,Degree,Private sector,Female,East Midlands,52183.98
26,40.43,212.54,6,PhD,Private sector,Male,Wales,21399.35
22,3033.94,147.44,4,Other,Private sector,Female,South West,33095.84
33,352.86,58.89,3,A Level,Private sector,Female,Scotland,49451.76
32,617.95,62.18,1,Degree,Private sector,Male,Northern Ireland,51933.07
50,314.3,28.23,3,Masters,Private sector,Male,Scotland,36321.7
64,1547.85,247.34,6,Other,Public Sector,Male,Yorkshire and The Humber,26262.77
37,124.65,221.33,7,Other,Private sector,Female,South East,58138.44
69,1242.36,127.2,3,PhD,Unemployed,Male,London,30542.31
42,2521.74,144.07,3,None,Private sector,Female,East Midlands,39176.26
30,91.05,203.89,11,A Level,Private sector,Female,Scotland,72743.43
26,229.69,91.68,4,None,Private sector,Female,East Midlands,14301.32
62,3072.99,72.11,0,PhD,Unemployed,Male,South West,39234.23
26,318.56,130.64,4,Degree,Private sector,Female,South West,18540.58
26,326.91,193.88,5,Degree,Unemployed,Female,London,20361.11
47,124.65,89.5,7,Degree,Private sector,Male,North West,64461.34
56,40.43,296.34,8,GCSE,Private sector,Male,West Midlands,33678.44
61,4028.11,80.91,0,A Level,Private sector,Male,East Midlands,44283.17
53,730.77,300.22,8,PhD,Private sector,Female,East of England,39455.04
40,57.75,264.78,2,None,Private sector,Male,Scotland,39071.89
40,4230.52,177.24,8,A Level,Unemployed,Female,South East,104665.84
44,4126.97,254.45,9,GCSE,Private sector,Male,London,115751.95
52,1973.88,196.44,1,A Level,Unemployed,Female,London,33923.69
30,2456.09,12.69,0,Degree,Private sector,Female,London,69597.6
59,510.25,21.45,4,A Level,Private sector,Male,Yorkshire and The Humber,27551.28
26,795.67,164.2,10,Degree,Unemployed,Male,South East,45643.77
22,68.31,290.53,12,Masters,Unemployed,Female,East of England,55839.71
54,390.79,185.6,8,None,Private sector,Female,West Midlands,28006.72
48,265.03,138.89,2,None,Unemployed,Male,West Midlands,37979.66
34,2133.33,261.62,12,Degree,Private sector,Male,London,116257.29
45,40.43,118.65,4,PhD,Private sector,Female,London,77597.14
59,265.03,137.75,2,Degree,Private sector,Male,London,36048.6
65,1094.47,297.39,10,A Level,Unemployed,Female,Yorkshire and The Humber,35152.35
40,297.36,19.96,0,Degree,Private sector,Female,South East,57049.89
22,242.49,192.78,4,Degree,Private sector,Female,North West,17742.68
58,1161.74,208.79,6,Degree,Public Sector,Female,East Midlands,28500.87
30,385.16,219.57,3,GCSE,Unemployed,Female,Wales,29603.06
42,1127.78,34.14,0,Other,Unemployed,Female,Northern Ireland,55621.21
47,1186.93,203.44,8,Degree,Private sector,Female,Northern Ireland,60892.81
25,386.83,123.14,7,PhD,Unemployed,Male,East Midlands,25285.19
27,406.6,19.59,0,A Level,Self Employed,Male,London,21903.41
65,241.91,138.03,2,A Level,Public Sector,Male,London,20760.12
25,777.57,292.54,8,Masters,Private sector,Female,Wales,24916.67
67,268.06,163.46,0,Masters,Private sector,Female,Scotland,20449.1
41,786.1,54.46,0,Other,Public Sector,Female,East Midlands,50213.26
38,1203.44,268.86,7,GCSE,Public Sector,Female,East of England,41361.14
46,3616.94,202.72,0,Masters,Private sector,Male,London,109519.69
30,107.31,53.24,4,PhD,Private sector,Male,Scotland,65601.61
41,855.26,102.9,5,GCSE,Private sector,Male,Scotland,59072.81
36,3954.14,44.13,5,Degree,Private sector,Male,East of England,86154.84
20,2047.44,71.52,6,A Level,Private sector,Female,London,29090.89
62,2262.1,80.61,2,Masters,Unemployed,Male,South East,35247.53
48,384.39,83.38,5,GCSE,Unemployed,Female,Yorkshire and The Humber,39258.21
25,1021.38,248.93,8,Masters,Public Sector,Female,London,35222.78
49,935.01,200.51,6,None,Private sector,Male,East of England,41420.51
53,115.49,172.7,2,Other,Unemployed,Female,East of England,26984.86
58,124.65,81.28,2,Masters,Unemployed,Female,Scotland,31270.08
21,48.53,232.64,9,GCSE,Unemployed,Female,South West,24154.24
23,3733.54,131.85,3,Degree,Private sector,Female,Scotland,47187.79
29,1239.25,86.06,6,Other,Private sector,Male,Scotland,29276.43
58,95.4,236.85,7,Degree,Private sector,Female,South West,33320.63
28,197.42,61.66,5,Degree,Public Sector,Female,West Midlands,21951.19
44,938.44,180.25,7,Degree,Private sector,Female,West Midlands,58462.95
35,402.24,178.96,10,Masters,Private sector,Female,Yorkshire and The Humber,61969.14
48,271.47,229.75,7,PhD,Unemployed,Female,South East,73427.83
37,380.09,114.46,0,Masters,Unemployed,Female,Scotland,48635.07
52,1038.98,279.79,10,Degree,Private sector,Male,South East,57334.27
48,2288.62,183,8,A Level,Unemployed,Male,Scotland,75730.31
34,3185.07,194.51,7,PhD,Private sector,Female,Yorkshire and The Humber,71403.8
55,917.02,209.32,8,A Level,Private sector,Female,South East,40153.65
23,308.52,75.79,0,Degree,Unemployed,Female,Scotland,18701.62
28,404.1,222.02,8,Degree,Public Sector,Male,South East,31424.92
24,479.37,179.48,6,Other,Private sector,Female,South East,22368.24
33,279.1,62.87,0,Masters,Private sector,Female,Scotland,53951.94
26,440.49,201.71,4,None,Private sector,Female,Scotland,12613.12
42,1107.07,176.64,0,A Level,Private sector,Male,East of England,55170.91
49,1230.99,8.07,0,Degree,Private sector,Female,London,62570.76
63,149.5,16.18,1,Masters,Unemployed,Female,South East,24305.12
22,1128.76,254.33,6,Masters,Private sector,Male,Scotland,25048.56
50,2504.52,213.65,8,Masters,Unemployed,Female,East of England,50138.38
21,330.19,274.12,12,GCSE,Private sector,Male,Scotland,50127.05
39,3810.26,185.92,7,Other,Private sector,Male,Wales,74020.85
37,976.81,209.57,2,GCSE,Private sector,Male,London,45842.86
27,1972.98,20.11,4,GCSE,Private sector,Female,North West,25195.93
40,170.92,129.87,4,GCSE,Unemployed,Female,North East,34995.79
50,326.71,156.58,0,PhD,Public Sector,Male,Yorkshire and The Humber,32540.35
50,94.5,226.88,10,PhD,Private sector,Male,Wales,50709.39
57,312.37,81.23,7,PhD,Unemployed,Female,London,50062.74
36,949.47,108.98,1,A Level,Private sector,Male,Scotland,48237.8
44,805.81,48.14,1,Other,Public Sector,Female,London,63436.35
59,124.65,163.45,9,GCSE,Unemployed,Male,Northern Ireland,38391.92
76,1176.88,280.46,9,Degree,Private sector,Female,South East,40451.03
44,189.95,279.76,8,GCSE,Unemployed,Male,Northern Ireland,53585.16
28,381.42,292.75,11,Degree,Public Sector,Female,South West,41896.92
73,118.28,159.7,2,A Level,Unemployed,Male,South East,19972.57
29,1037.82,221.64,11,Masters,Private sector,Male,Wales,44428.31
50,501.12,291.39,9,Masters,Unemployed,Female,North West,41407.14
45,1806.46,199.45,10,Degree,Private sector,Female,North East,71791.03
46,124.65,202.66,9,A Level,Public Sector,Female,Yorkshire and The Humber,52067.57
35,473.17,37.88,7,Other,Private sector,Male,London,73692.2
53,333.68,192.93,5,Other,Private sector,Female,East Midlands,25111.8
45,2898.7,96.85,0,PhD,Public Sector,Male,South West,78359.71
44,333.91,213.01,1,Degree,Private sector,Female,South East,52305.77
58,751.1,100.78,2,GCSE,Private sector,Male,Wales,25083.87
31,865.88,194.59,3,A Level,Private sector,Female,South East,45038.41
40,282.24,119.68,2,PhD,Private sector,Female,East of England,60217.82
27,168.49,36.49,3,Degree,Private sector,Female,South West,19547.19
66,1514.78,25.17,4,Degree,Unemployed,Male,West Midlands,28894.52
51,478.6,154.27,5,A Level,Public Sector,Female,Yorkshire and The Humber,25513.15
52,124.65,37.44,2,A Level,Unemployed,Female,Yorkshire and The Humber,26006.27
42,2426.29,121.21,9,PhD,Unemployed,Female,South West,80817.97
79,592,177.47,7,A Level,Private sector,Female,London,27634.03
38,265.03,71,0,Degree,Private sector,Male,South East,57963.67
30,233.47,55.82,3,A Level,Private sector,Female,East of England,43625.35
76,127.71,276.13,6,Masters,Self Employed,Male,East of England,23132.28
61,303.94,268.02,11,Degree,Private sector,Female,South East,51158.65
30,221.94,269.86,6,Degree,Private sector,Male,West Midlands,51975.71
32,138.43,146.69,0,Degree,Private sector,Male,Northern Ireland,51966.59
39,71.05,220.7,7,Degree,Public Sector,Male,South East,61087.97
22,124.65,68.82,5,GCSE,Private sector,Male,Northern Ireland,19020.9
48,1367.86,26.2,0,Other,Unemployed,Female,Northern Ireland,52096.41
24,2094.27,89.21,1,A Level,Private sector,Male,South East,28370.23
45,193.02,210.8,10,Other,Unemployed,Male,Scotland,84980.66
36,3433.62,180.01,3,Other,Private sector,Male,Northern Ireland,69311.8
43,151,138.98,3,Other,Unemployed,Female,Northern Ireland,48454.77
44,2032,253.21,9,Masters,Unemployed,Male,Scotland,89908.68
19,493.78,172.54,3,Other,Public Sector,Female,West Midlands,12489.81
20,151.27,280.7,12,PhD,Private sector,Female,South East,54106.49
24,624.06,87.7,3,None,Private sector,Female,Scotland,14969.5
25,983.12,86.53,3,A Level,Private sector,Male,Yorkshire and The Humber,18886.9
33,1878.77,40.15,1,A Level,Private sector,Male,South West,50903.82
55,120.87,95.55,0,GCSE,Self Employed,Male,West Midlands,27279.98
48,771.58,69.35,0,Other,Unemployed,Male,North West,59390.14
36,376.61,162.22,7,GCSE,Public Sector,Female,South East,54748.2
44,150.77,172.91,6,Degree,Private sector,Male,West Midlands,60611.68
48,1052.75,164.18,6,Degree,Private sector,Female,North West,50835.41
46,238.06,163.71,7,Degree,Self Employed,Male,North West,69518.99
40,275.31,266.18,5,Other,Self Employed,Female,North West,54514.95
42,1119.69,79.85,1,PhD,Private sector,Male,East of England,75262.53
41,342.23,150.14,3,PhD,Private sector,Female,London,73816.56
22,250.51,94.98,4,A Level,Public Sector,Male,South West,18815.42
28,387.45,102.18,3,A Level,Public Sector,Male,Yorkshire and The Humber,17096.1
54,278.41,42.05,8,A Level,Unemployed,Female,South West,36476.37
31,92.97,287.67,11,Masters,Private sector,Male,East of England,84066.33
37,105.45,281.84,9,A Level,Unemployed,Female,Northern Ireland,52151.65
23,2645.52,197.69,10,Degree,Private sector,Female,South West,48512.7
38,3537.47,204.42,5,None,Private sector,Male,Scotland,58942.54
60,663.16,230.94,8,Masters,Private sector,Male,East of England,31470.4
23,578.85,252.68,7,GCSE,Unemployed,Female,Wales,18324.6
29,319.64,234.6,6,Masters,Private sector,Male,North West,22031.41
39,121.21,228.57,9,Masters,Private sector,Male,South West,65431.64
27,2688.02,159.97,4,A Level,Private sector,Female,London,34634.11
81,287.46,96.28,1,GCSE,Unemployed,Female,North West,17632.77
63,96.1,206.65,7,PhD,Private sector,Male,South West,26707.48
26,141.25,235.38,10,Masters,Unemployed,Female,Scotland,40940.72
60,124.65,249.71,11,Degree,Public Sector,Female,North East,40003.09
42,271.87,64.22,4,Other,Private sector,Female,East Midlands,47161.44
49,440.49,282.57,10,Masters,Private sector,Male,South East,96050.7
34,440.49,232.66,4,PhD,Private sector,Female,Wales,44705
57,752.09,32.91,0,Masters,Private sector,Female,Wales,27850.73
52,1284.88,48,0,GCSE,Private sector,Male,South West,26822.39
49,3967.81,59.33,2,Degree,Private sector,Female,West Midlands,88854.18
43,583.62,152.22,3,Degree,Private sector,Male,North West,65815.04
25,1708.69,110.76,4,Masters,Unemployed,Female,North West,25063.39
31,52.07,14.83,3,Other,Private sector,Female,London,61021.35
58,54.69,129.82,5,Other,Private sector,Female,South East,36823.41
48,40.43,206.07,7,Other,Private sector,Female,Wales,51377.85
23,1629.18,284.94,6,None,Private sector,Female,South East,20693.46
68,440.49,180.18,3,Degree,Private sector,Female,Yorkshire and The Humber,17795.19
19,459.24,175.98,4,Degree,Unemployed,Female,North West,13006.74
50,2255.7,300.53,11,Masters,Private sector,Male,East Midlands,59106.58
38,109.67,242.52,11,A Level,Unemployed,Male,Yorkshire and The Humber,65263.74
28,692.66,66.65,3,Other,Private sector,Female,East Midlands,17555.84
28,214.2,88.59,0,PhD,Private sector,Female,South East,21623.83
43,241.06,151.2,8,PhD,Private sector,Female,South West,62963.46
26,2389.25,179.17,8,Degree,Public Sector,Female,Yorkshire and The Humber,36230.67
40,40.43,137.34,3,Masters,Private sector,Female,South West,51656.69
25,2498.3,136.92,4,A Level,Private sector,Female,South East,31768.7
35,220.16,81.44,5,Degree,Private sector,Male,South West,53935.46
58,891.48,186.42,4,A Level,Private sector,Female,West Midlands,26864.61
37,473.75,103.57,3,A Level,Private sector,Female,Northern Ireland,41618.47
48,2555.69,279.27,4,A Level,Public Sector,Female,South West,51722.25
25,265.03,66.09,0,Degree,Private sector,Female,South East,18463.53
25,265.03,19.6,0,Degree,Public Sector,Female,London,23287.48
46,214.86,166.57,4,PhD,Public Sector,Male,London,80123.54
38,779.38,29.25,0,A Level,Public Sector,Female,South West,39629.5
30,1068.61,270.21,8,Other,Public Sector,Male,Yorkshire and The Humber,56161.83
60,528.91,75.96,3,Degree,Private sector,Male,South East,24675.75
45,200.09,80.74,0,Degree,Private sector,Male,London,72971.35
38,896.3,178.96,5,Other,Public Sector,Male,Scotland,60875.31
21,2101.52,204.63,5,A Level,Private sector,Female,Wales,19184.33
33,541.64,300.5,10,GCSE,Private sector,Female,East Midlands,51027.97
30,240.99,228.65,11,Degree,Private sector,Male,Wales,67578.44
40,146.45,10.64,0,None,Unemployed,Female,Wales,32337.14
38,898.43,141.44,11,GCSE,Unemployed,Male,Northern Ireland,70767.63
41,259.91,14.47,0,Degree,Unemployed,Female,Scotland,56887.93
27,2626.8,284.44,6,PhD,Public Sector,Male,East Midlands,31811.39
62,1618.82,241.26,7,Degree,Unemployed,Female,North West,29189.91
38,316.79,170.93,2,A Level,Private sector,Male,Wales,40979.93
48,105.22,14.12,0,Other,Private sector,Female,Scotland,64414.07
56,352.2,58.78,2,Degree,Private sector,Male,South East,33135.53
25,40.43,290.86,9,PhD,Private sector,Female,South West,31519.58
42,2829.67,82.31,6,Other,Private sector,Male,London,93426.49
35,2018.26,151.99,6,PhD,Unemployed,Female,Scotland,69718.51
23,355.45,33.7,0,Degree,Private sector,Male,South East,21954.85
23,251.42,150.61,3,Masters,Unemployed,Male,Scotland,20193.87
50,345.41,96.44,3,A Level,Private sector,Male,South East,32025.55
51,283.96,283.58,7,Degree,Private sector,Female,Yorkshire and The Humber,30347.59
19,333.6,208.74,7,Degree,Public Sector,Female,North West,18092.72
23,1313.35,214.29,5,None,Private sector,Male,Scotland,19479.55
52,2609.3,183.54,4,PhD,Private sector,Female,Northern Ireland,43565.1
45,303.45,223.39,10,Masters,Private sector,Female,South East,84868.96
26,1588.23,260.64,7,Degree,Private sector,Female,North West,26314.35
32,40.43,219.87,8,A Level,Private sector,Male,West Midlands,54297.7
50,3851.23,61.33,2,Masters,Unemployed,Female,London,72298.86
66,2436.55,45.17,3,Other,Unemployed,Male,West Midlands,34403.17
31,308.65,205.1,9,Degree,Private sector,Male,London,77935.08
27,1271.25,200.07,6,Degree,Private sector,Female,South East,25916.64
24,136.64,285.47,4,PhD,Private sector,Male,Wales,18215.75
27,271.56,79.33,3,A Level,Unemployed,Female,North West,19117.19
24,2234.37,276.74,5,Degree,Private sector,Male,Scotland,28635.37
49,325.95,79.13,1,Degree,Private sector,Male,West Midlands,63356.9
28,1172.08,183.15,4,PhD,Private sector,Male,North West,24015.3
51,350.75,144.68,1,GCSE,Private sector,Male,West Midlands,23383.9
49,843.87,300.88,12,Other,Private sector,Male,Scotland,102279.19
46,524.3,98.66,3,None,Private sector,Male,Scotland,38162.91
32,232.37,18.04,0,GCSE,Private sector,Male,Northern Ireland,40414.15
29,130.23,208.32,8,A Level,Private sector,Female,North West,25448.1
27,88.26,41.74,2,Degree,Public Sector,Male,London,22970.65
50,769.76,11.66,2,PhD,Private sector,Male,Northern Ireland,35871.51
26,284.39,70.81,4,A Level,Unemployed,Female,Yorkshire and The Humber,18881.85
48,3732.35,150.85,4,A Level,Private sector,Female,East of England,79881.13
41,260.26,244.06,5,Degree,Private sector,Male,Scotland,63159.01
44,2256.02,41.29,3,GCSE,Private sector,Female,North East,48011.73
61,3786.79,192.48,4,A Level,Public Sector,Female,South East,50490.65
67,374.63,272.94,7,None,Public Sector,Male,East Midlands,18833.29
40,807.22,46.17,3,Degree,Private sector,Female,North West,54918.43
